health,岗位,睡眠,工作倦怠,工作家庭冲突,幸福感与工作满意度,心理健康服务需求与现状,心理健康素养,心理求助障碍,心理资本,正性与负性情绪,科技工作者,创业态度,工作时间分配,工作满意度,收入水平,生活困扰,社会资本,组织氛围,职业价值观,行政干预,职业压力,背景信息,个人创新行为,易激惹
0,13,44,24,10,5,35,6,20,3,31,1,1,40,27,12,1,20,4,4.77,11,18,80832.5,18,0
0,113,40,49,20,26,28,5,23,2,47,1,1,34,14,14,1,30,12,4,8,42,61793.79,24,0
0,12,42,46,39,20,28,6,59,2,43,6.07,2,42,32,12,3,22.69,8,8,14,56,110796,24,0
0,4,44,32,46,11,31,6,62,2,29,8,2,35,45,27,3,23.28,4,14,14,55,54506,17,1
0,6,47,44,60,20,26,6,71,2,42,9,1,45,31,13,4,22.46,4,16,13,52,123512,25,1
0,24,40,34,36,12,41,5,65,3,37,45,2,51,41,23,3,79,6,16,14,71,83352,24,2
0,8,61,35,23,26,22,5,57.37,2,39,1,1,27,35,22,1,17,9.59,7,25.93,38.26,306647,22,0
1,19,44,38,43,25,24,5,64,3,51,12,1.66,40,28,25.9,2.85,29.7,3,15,8.62,74,43017.03,24,1
0,8,41,30,15,5,25,5,60,1,40,2,1,57,32,12,2,19.1,15.46,5,12,34.84,47648.56,11,0
0,8,44,15,22,20,37,7,60,2,35,1,1,27,39,19,3,24,15,12,17,39,107750.52,18,1
0,4,47,40,33,22,30,6,61,3,35,5,1,38,46,27,1,33,12,12,21,58,58979.5,19,1
0,5,47,33,28,16,32,6,56,2,43,5,2,25,41,26,3,21.44,6.6,7,15,37,562774.15,20,1
0,14,47,39,20,14,35,6,53,2,33,2,1,27,42,20,1,32,10,10,13,39,142967,18,0
0,16,43,34,49,9,31,6,64,1,23,6,1,42,39,14,2,23.26,12,12,10,67,193548.86,13,1
0,26,47,29,40,20,37,10,60,2,60,2.82,2,55,42,36.31,1,25.55,7,9,18.83,54,42921.685,18,1
1,20,44,48,43,10,30,5,65,1,43,1,1,24,61,13,1,19,5,3,12,79,108316.23,12,2
0,8,46,41,31,10,25,6,77,2,51,11,2,33.01,50,22,2,18.6,7,11,15,66,48209.51,23,0
0,4,48,39,27,13,17,5,42,1,20,3,2,35,54,19,1,20,3,8,14,36,141763.76,12,0
0,23,46,37,20,21,30,6,67,3,42,2,1,25,43,13,1,27,13.98,16,13,41,280747,13,2
0,15,43,50,47,18,34,6,56,2,28,8,2,40,38,15,2,33,9,16,11,61,275315,22,1
0,16,46,57,36,17,33,6,55,2,28,4,1,42.59,42,13,1,31,7,16,21,49,297517,19,1
0,14,43,35,10,27,47,6,56,2,61,12,1,34,41,17,2,34,7,13,15,22,58314.5,23,0
0,23,46,30,40,20,27.04,8,60,3,40,4.89,1.87,24.58,28.44,23.14,2.94,24.53,7,16,14.2,54,49919.925,10.85,1
0,4,46,29,40,24,38,6,61,2,32,3,2,37,29,18,1,36,8,5,15,45,41488.01,20,0
2,18,38.81,60,40,20,28.96,9,60,2,60,6.21,1,35.14,42,25,1,21.69,6.03,10,15.46,64.87,45980.69,18,3
1,6,48,35,37,6,40,6,61,1,40.24,5,2,50,48,30,2,23,6.24,17,13.3,79,62511,18,2
0,24,44,23,25,12,36,7,65,2,41,4,2,27,38,13,1,57,13,8,17,58,114781,19,0
0,8,48,40,51,13,33,7,61,3,37,10,1,35,58,28,2,19.35,15,13,17,70,57605,21,1
0,6,24,39,22,18,32.79,7,54,3,33,1,1,39,26.6,30,2.93,23.35,9.02,5,18.64,42,42660.82,21,2
0,8,43,43,32,32,38,7,55,2,47,1,1,49,30,17,3,53,6,13,16,40,100772.5,25,1
